0.93771,0.93761,0.93729,0.93674,0.93592,0.93479,0.93329,0.93137,0.92892,0.92587,0.9221,0.9175,0.91195,0.90529,0.8974,0.8881,0.87723,0.86462,0.85009,0.83346,0.81453,0.79312,0.76905,0.74213,0.71218,0.67904,0.64255,0.60257,0.55898,0.51169,0.46063,0.40576,0.34709,0.28464,0.21852,0.14885,0.075819,-0.00032679,-0.079281,-0.16069,-0.2441,-0.32903,-0.4149,-0.50109,-0.5869,-0.67156,-0.75425,-0.83411,-0.91021,-0.98107,-1.0472,-1.1062,-1.1574,-1.1998,-1.2324,-1.2543,-1.2646,-1.2624,-1.247,-1.2176,-1.1738,-1.1152,-1.0414,-0.95237,-0.8482,-0.72913,-0.59561,-0.44827,-0.28794,-0.11566,0.067347,0.25968,0.45976,0.66586,0.87611,1.0885,1.301,1.5114,1.7175,1.9171,2.1082,2.2884,2.4559,2.6086,2.7448,2.863,2.9617,3.0397,3.0961,3.1302,3.1416
0.8192,0.81972,0.82128,0.82386,0.82744,0.83195,0.83736,0.84358,0.85055,0.85814,0.86627,0.87479,0.88357,0.89244,0.90124,0.90977,0.91782,0.92517,0.93159,0.93681,0.94057,0.94258,0.94255,0.94017,0.93513,0.9271,0.91577,0.90081,0.8819,0.85875,0.83106,0.79855,0.76102,0.71822,0.66999,0.61623,0.55685,0.49187,0.42135,0.34543,0.26435,0.17843,0.08807,-0.0062044,-0.10378,-0.20394,-0.30585,-0.4086,-0.51115,-0.61239,-0.71112,-0.80605,-0.89586,-0.97915,-1.0545,-1.1205,-1.1758,-1.2189,-1.2486,-1.2636,-1.2629,-1.2454,-1.2103,-1.1571,-1.0853,-0.99467,-0.88541,-0.75781,-0.61249,-0.45033,-0.27253,-0.080519,0.12397,0.33898,0.56231,0.79155,1.0242,1.2574,1.4885,1.7146,1.9328,2.1404,2.3345,2.5126,2.6724,2.8115,2.9281,3.0205,3.0874,3.128,3.1416
0.40962,0.41062,0.41361,0.41857,0.4255,0.43437,0.44514,0.45779,0.47225,0.48846,0.50636,0.52587,0.54686,0.56924,0.59287,0.61759,0.64323,0.66958,0.69643,0.72354,0.75062,0.77738,0.80349,0.8286,0.85232,0.87425,0.89396,0.91099,0.92487,0.93512,0.94125,0.94275,0.93913,0.9299,0.91461,0.89281,0.86411,0.82816,0.78468,0.73347,0.67439,0.60742,0.53265,0.45028,0.36066,0.26426,0.16172,0.0538,-0.058543,-0.17423,-0.29201,-0.41049,-0.52815,-0.64333,-0.75427,-0.85916,-0.95608,-1.0431,-1.1184,-1.18,-1.2261,-1.255,-1.2653,-1.2556,-1.2247,-1.172,-1.0968,-0.99892,-0.8786,-0.73636,-0.57314,-0.39025,-0.1894,0.027318,0.25748,0.49832,0.74682,0.99969,1.2535,1.5046,1.7494,1.9843,2.2057,2.4102,2.5946,2.756,2.8917,2.9997,3.0781,3.1257,3.1416
-0.12032,-0.11921,-0.11587,-0.11029,-0.10248,-0.092407,-0.080069,-0.065448,-0.048529,-0.0293,-0.0077505,0.016117,0.042307,0.070803,0.10157,0.13456,0.16973,0.20697,0.24617,0.28721,0.3299,0.37404,0.41938,0.46563,0.51246,0.5595,0.60632,0.65246,0.69739,0.74056,0.78133,0.8191,0.85317,0.88283,0.90736,0.92601,0.93807,0.9428,0.93951,0.92757,0.90639,0.87546,0.8344,0.78292,0.72089,0.64832,0.56541,0.47255,0.37033,0.25956,0.14129,0.016772,-0.1125,-0.24483,-0.37831,-0.51082,-0.64013,-0.76383,-0.87946,-0.98448,-1.0764,-1.1526,-1.2109,-1.249,-1.2649,-1.257,-1.2238,-1.1644,-1.0783,-0.96537,-0.82606,-0.66133,-0.47268,-0.26212,-0.03217,0.21417,0.47345,0.74188,1.0153,1.2894,1.5596,1.8214,2.0703,2.3018,2.5119,2.6966,2.8528,2.9773,3.068,3.1231,3.1416
-0.56929,-0.5685,-0.56609,-0.56207,-0.55638,-0.54898,-0.5398,-0.52877,-0.51579,-0.50077,-0.48361,-0.46418,-0.44237,-0.41808,-0.39117,-0.36155,-0.3291,-0.29375,-0.25542,-0.21408,-0.16967,-0.12225,-0.071857,-0.018588,0.037401,0.095917,0.15668,0.21936,0.28355,0.34877,0.41446,0.47999,0.54465,0.60765,0.66813,0.72518,0.7778,0.82499,0.8657,0.89886,0.92344,0.93839,0.94278,0.93571,0.91641,0.88427,0.83884,0.77985,0.7073,0.62142,0.52273,0.41205,0.29051,0.15956,0.020985,-0.12314,-0.27044,-0.41826,-0.56372,-0.70377,-0.83522,-0.95479,-1.0592,-1.1454,-1.2102,-1.251,-1.2653,-1.2511,-1.2068,-1.1315,-1.0248,-0.88707,-0.71925,-0.52306,-0.3009,-0.055835,0.20841,0.48757,0.77687,1.0711,1.365,1.6527,1.9289,2.1878,2.4243,2.6336,2.8112,2.9534,3.0572,3.1204,3.1416
-0.77877,-0.77863,-0.77818,-0.77739,-0.77622,-0.77457,-0.77236,-0.76946,-0.76573,-0.76102,-0.75513,-0.74788,-0.73904,-0.72838,-0.71566,-0.70061,-0.68299,-0.66252,-0.63893,-0.61197,-0.58138,-0.54693,-0.50843,-0.46569,-0.41859,-0.36704,-0.31104,-0.25062,-0.18591,-0.11714,-0.044624,0.031218,0.10986,0.19064,0.27278,0.3554,0.43748,0.51788,0.59537,0.66863,0.73626,0.79679,0.84876,0.89069,0.92115,0.93878,0.94235,0.9308,0.90326,0.85948,0.7981,0.72024,0.62594,0.51603,0.39176,0.25483,0.10737,-0.048036,-0.20843,-0.37047,-0.53049,-0.68462,-0.82878,-0.95886,-1.0708,-1.1606,-1.2246,-1.2595,-1.2626,-1.2316,-1.1651,-1.0624,-0.92374,-0.75012,-0.54356,-0.30699,-0.04417,0.24027,0.541,0.85211,1.1672,1.4795,1.7823,2.0688,2.3324,2.567,2.7671,2.9279,3.0457,3.1175,3.1416
-0.68701,-0.68762,-0.68942,-0.69239,-0.69648,-0.70161,-0.70767,-0.71456,-0.72213,-0.7302,-0.73858,-0.74705,-0.75535,-0.76322,-0.77034,-0.77639,-0.78101,-0.78381,-0.78438,-0.78232,-0.77717,-0.76849,-0.75583,-0.73874,-0.71679,-0.68956,-0.6567,-0.61787,-0.57281,-0.52134,-0.46336,-0.39891,-0.32811,-0.25125,-0.16877,-0.081271,0.010477,0.10553,0.20273,0.30076,0.39814,0.49321,0.58418,0.66916,0.74616,0.81317,0.86821,0.90932,0.93473,0.94281,0.93222,0.90193,0.8513,0.78015,0.6888,0.57812,0.44955,0.30514,0.14752,-0.020068,-0.19388,-0.36969,-0.54285,-0.70846,-0.86143,-0.99665,-1.1091,-1.1941,-1.2474,-1.2653,-1.2449,-1.1842,-1.0822,-0.93891,-0.75573,-0.53504,-0.28045,0.0033121,0.3105,0.63448,0.96793,1.303,1.6315,1.9452,2.2362,2.4969,2.7205,2.9009,3.0334,3.1144,3.1416
-0.34551,-0.34667,-0.35016,-0.35595,-0.36402,-0.37432,-0.38681,-0.4014,-0.41802,-0.43654,-0.45685,-0.47877,-0.50212,-0.52668,-0.5522,-0.57838,-0.60489,-0.63136,-0.65736,-0.68244,-0.70608,-0.72773,-0.7468,-0.76267,-0.77469,-0.78217,-0.78444,-0.78082,-0.77063,-0.75325,-0.72811,-0.6947,-0.65264,-0.60164,-0.54159,-0.47252,-0.39468,-0.30853,-0.2148,-0.11438,-0.0085488,0.10123,0.2132,0.32539,0.43557,0.54133,0.64012,0.72931,0.80621,0.86824,0.91291,0.93798,0.94153,0.92207,0.87861,0.81075,0.71879,0.60373,0.46738,0.31232,0.14192,-0.039687,-0.22771,-0.41675,-0.60098,-0.77424,-0.93028,-1.0629,-1.1663,-1.235,-1.2645,-1.251,-1.192,-1.0862,-0.9338,-0.73633,-0.49693,-0.22016,0.088032,0.42045,0.76888,1.1243,1.4771,1.8176,2.1362,2.4236,2.6714,2.8724,3.0204,3.1111,3.1416
0.10596,0.10466,0.10077,0.094265,0.085143,0.073386,0.058974,0.041891,0.022123,-0.00033551,-0.025482,-0.053296,-0.083739,-0.11675,-0.15222,-0.19004,-0.23001,-0.27192,-0.31548,-0.36036,-0.40616,-0.45238,-0.4985,-0.54387,-0.58781,-0.62953,-0.66821,-0.70294,-0.73278,-0.75675,-0.77385,-0.78309,-0.78351,-0.77422,-0.75443,-0.72345,-0.68079,-0.62616,-0.5595,-0.48105,-0.39135,-0.2913,-0.18213,-0.065488,0.056637,0.18189,0.30756,0.43067,0.54799,0.65614,0.75168,0.8312,0.89147,0.92953,0.94284,0.92943,0.88799,0.81804,0.71998,0.59518,0.44605,0.27602,0.089535,-0.10804,-0.31051,-0.51104,-0.7023,-0.87677,-1.027,-1.1457,-1.2264,-1.2634,-1.2523,-1.19,-1.075,-0.90784,-0.69055,-0.42727,-0.12386,0.21212,0.57169,0.94469,1.3201,1.6866,2.0326,2.3472,2.6201,2.8424,3.0067,3.1076,3.1416
0.49482,0.49389,0.49109,0.48638,0.47971,0.47101,0.46016,0.44707,0.4316,0.41362,0.39296,0.36949,0.34304,0.31349,0.28069,0.24454,0.20496,0.16193,0.11542,0.065535,0.012399,-0.043769,-0.10267,-0.16388,-0.2269,-0.29109,-0.35572,-0.41991,-0.48267,-0.5429,-0.5994,-0.65087,-0.69595,-0.73323,-0.76132,-0.77882,-0.78445,-0.77703,-0.75558,-0.71933,-0.66785,-0.60103,-0.51919,-0.42307,-0.31393,-0.19353,-0.064136,0.071457,0.20999,0.34779,0.48084,0.60489,0.71559,0.80861,0.87987,0.92564,0.94278,0.9289,0.88254,0.80331,0.69202,0.55077,0.38297,0.19334,-0.012138,-0.22643,-0.44156,-0.64893,-0.83958,-1.0046,-1.1353,-1.2238,-1.2636,-1.2494,-1.1777,-1.0472,-0.85872,-0.61545,-0.32284,0.011513,0.378,0.76542,1.1614,1.5526,1.9258,2.2678,2.5665,2.811,2.9923,3.1039,3.1416
0.68028,0.6801,0.67954,0.67856,0.67707,0.67496,0.67208,0.66825,0.66325,0.65685,0.64879,0.63878,0.62649,0.61161,0.59378,0.57267,0.54794,0.51923,0.48626,0.44874,0.40643,0.35919,0.3069,0.24959,0.18737,0.12048,0.049315,-0.025579,-0.10349,-0.18349,-0.26452,-0.34529,-0.42436,-0.50012,-0.57082,-0.63458,-0.68949,-0.73359,-0.765,-0.78192,-0.78277,-0.76623,-0.73133,-0.67755,-0.6049,-0.51395,-0.40596,-0.28283,-0.1472,-0.0023632,0.14772,0.29853,0.44509,0.58211,0.70419,0.80598,0.88249,0.92924,0.94258,0.91991,0.86024,0.76262,0.62979,0.46477,0.27257,0.059782,-0.16556,-0.39424,-0.61618,-0.82083,-0.99762,-1.1364,-1.2281,-1.2649,-1.241,-1.1528,-0.99936,-0.78247,-0.50672,-0.17947,0.18937,0.5877,1.0017,1.4163,1.8161,2.1857,2.5106,2.7781,2.9772,3.1001,3.1416
