param d :
	1     2     3     4     5     6     7     8     9    10    11    12    13    14    15    16    17    18    19    20    21    22    23    24    25    26    27    28    29    30    31    32    33    34    35    36    37    38    39    40 :=
50	3.0148 2.6497 2.0902 1.4029 0.66831 -0.029937 -0.61584 -1.0307 -1.2404 -1.2387 -1.0472 -0.71112 -0.29201 0.14129 0.52273 0.7981 0.93222 0.91291 0.75168 0.48084 0.14772 -0.19312 -0.48841 -0.69421 -0.78217 -0.74326 -0.58847 -0.34633 -0.057936 0.22985 0.47182 0.63138 0.68599 0.63023 0.47614 0.25084 -0.0080886 -0.25883 -0.46195 -0.58653
51	3.02 2.6693 2.1299 1.4635 0.74497 0.053099 -0.53945 -0.97493 -1.2173 -1.2559 -1.1062 -0.80605 -0.41049 0.016772 0.41205 0.72024 0.90193 0.93798 0.8312 0.60489 0.29853 -0.038579 -0.35488 -0.60411 -0.75182 -0.77998 -0.68896 -0.49684 -0.23614 0.051562 0.322 0.53494 0.66003 0.68105 0.59787 0.42605 0.1941 -0.061229 -0.3006 -0.4881
52	3.0252 2.6889 2.1696 1.5245 0.82305 0.13901 -0.45834 -0.91247 -1.186 -1.2645 -1.1574 -0.89586 -0.52815 -0.1125 0.29051 0.62594 0.8513 0.94153 0.89147 0.71559 0.44509 0.12292 -0.20269 -0.48512 -0.68577 -0.77919 -0.75609 -0.62412 -0.40615 -0.13656 0.14405 0.39478 0.58036 0.6759 0.67023 0.56706 0.38405 0.14993 -0.099983 -0.32898
53	3.0303 2.7082 2.2093 1.586 0.90242 0.22769 -0.37255 -0.84329 -1.1463 -1.2637 -1.1998 -0.97915 -0.64333 -0.24483 0.15956 0.51603 0.78015 0.92207 0.92953 0.80861 0.58211 0.2858 -0.03682 -0.34062 -0.58486 -0.73851 -0.78396 -0.719 -0.55651 -0.32222 -0.050833 0.21901 0.45007 0.61159 0.68327 0.65774 0.54125 0.35241 0.11932 -0.12451
54	3.0354 2.7275 2.249 1.6477 0.98296 0.319 -0.28216 -0.76734 -1.0978 -1.253 -1.2324 -1.0545 -0.75427 -0.37831 0.020985 0.39176 0.6888 0.87861 0.94284 0.87987 0.70419 0.44391 0.13667 -0.17554 -0.45181 -0.6575 -0.76843 -0.77357 -0.67603 -0.49217 -0.24906 0.019394 0.27701 0.49013 0.63194 0.68572 0.64683 0.5229 0.33259 0.10281
55	3.0404 2.7466 2.2885 1.7096 1.0645 0.41281 -0.18728 -0.68462 -1.0404 -1.2319 -1.2543 -1.1205 -0.85916 -0.51082 -0.12314 0.25483 0.57812 0.81075 0.92943 0.92564 0.80598 0.59074 0.31083 0.0037485 -0.29126 -0.53801 -0.70762 -0.78179 -0.75466 -0.63313 -0.43556 -0.18919 0.073532 0.31911 0.51715 0.64411 0.68596 0.63973 0.51357 0.32546
56	3.0454 2.7656 2.3277 1.7716 1.147 0.50895 -0.088063 -0.59516 -0.97393 -1.1999 -1.2646 -1.1758 -0.95608 -0.64013 -0.27044 0.10737 0.44955 0.71879 0.88799 0.94278 0.88249 0.71967 0.47809 0.18962 -0.10977 -0.38427 -0.60234 -0.74021 -0.78437 -0.73282 -0.59488 -0.38979 -0.1441 0.11159 0.34643 0.53292 0.65008 0.68573 0.63777 0.51407
57	3.0503 2.7843 2.3668 1.8336 1.2303 0.60723 0.015325 -0.49907 -0.89833 -1.1566 -1.2624 -1.2189 -1.0431 -0.76383 -0.41826 -0.048036 0.30514 0.60373 0.81804 0.9289 0.92924 0.82428 0.63052 0.37342 0.084395 -0.20289 -0.45624 -0.64843 -0.75998 -0.78111 -0.71244 -0.56463 -0.3569 -0.11459 0.13379 0.35987 0.5386 0.65093 0.68582 0.64131
58	3.0551 2.8028 2.4055 1.8955 1.3141 0.70745 0.12267 -0.39648 -0.81337 -1.1016 -1.247 -1.2486 -1.1184 -0.87946 -0.56372 -0.20843 0.14752 0.46738 0.71998 0.88254 0.94258 0.89868 0.7602 0.54588 0.28156 -0.0027174 -0.27596 -0.50951 -0.67987 -0.77104 -0.77591 -0.69674 -0.54465 -0.33816 -0.10106 0.14033 0.35988 0.53457 0.64677 0.68599
59	3.0599 2.8211 2.4438 1.9572 1.3983 0.8094 0.23374 -0.2876 -0.71932 -1.0347 -1.2176 -1.2636 -1.18 -0.98448 -0.70377 -0.37047 -0.020068 0.31232 0.59518 0.80331 0.91991 0.93779 0.85967 0.69752 0.47105 0.20551 -0.070942 -0.33011 -0.5465 -0.69978 -0.77658 -0.77159 -0.68788 -0.53632 -0.33429 -0.10373 0.13114 0.34631 0.5204 0.63675
